tensor([[[0.1433, 0.0421, 0.7251],
         [0.3213, 0.1637, 0.2250],
         [0.2311, 0.9715, 0.9658]],

        [[0.5158, 0.4818, 0.8378],
         [0.5627, 0.2046, 0.3032],
         [0.7822, 0.7941, 0.1564]],

        [[0.1187, 0.9104, 0.6929],
         [0.4726, 0.4895, 0.9406],
         [0.4896, 0.1827, 0.2424]],

        [[0.7901, 0.9548, 0.6026],
         [0.1055, 0.3163, 0.8307],
         [0.5082, 0.5384, 0.2841]],

        [[0.0592, 0.6196, 0.5315],
         [0.8253, 0.9183, 0.1635],
         [0.6056, 0.6196, 0.1760]]])
